"set","guides","total_cells","median_lfc","median_pct","median_neglog10p","n_kd"
"fishash",12,22202,-0.854514776822296,-44.694261938321,80.1602014458416,12
"fishash+",12,28421,-0.765353559246576,-41.1542735488724,77.8772224872161,12
"lowcount-IPF",12,39522,-0.64516630479843,-36.0480239708274,54.6606520316359,12
"lowcount-plug",12,62323,-0.568200933071427,-32.5428042075487,43.5436826659565,12
"plug & fishash+ (core)",12,28421,-0.765353559246576,-41.1542735488724,77.8772224872161,12
"lowcount-IPF \ fishash+",12,11103,-0.390718888702463,-23.7198796963565,11.1427151239293,11
"lowcount-plug \ fishash+",12,33902,-0.334579834818969,-20.6962984489791,13.3123739513679,12
