"guide","gene","method","model_total","calls_total","L1_frac"
"GATA1-TSS-2","GATA1","fishash",10183,10183,0.892592380726955
"GATA1-TSS-2","GATA1","fishash+",7957.00000000001,7957,0.0335136015370612
"HDAC6-TSS-1","HDAC6","fishash",10265,10265,0.813086957630716
"HDAC6-TSS-1","HDAC6","fishash+",8825,8825,0.022722978533669
"MYC-e2-1","MYC","fishash",9342.99999999999,9343,0.589159985395811
"MYC-e2-1","MYC","fishash+",8358,8358,0.049452652146796
"e-HDAC6-1","HDAC6","fishash",9488.99999999999,9489,0.162170843491635
"e-HDAC6-1","HDAC6","fishash+",9355.99999999998,9356,0.012520488305723
