"dataset","med_fp","med_cp","n_guides"
"dctap_k562_highmoi",0.936257710760795,0.919177075679647,97
"dctap_k562_lowmoi",0.931818181818182,0.919463087248322,97
"endoc_t2d",0.966849816849817,0.968990384615385,222
"invivo_cortex",0.780184786738012,0.924603968276645,16
"mccutcheon",0.894736842105263,0.829893238434164,39
"a549",0.919732441471572,0.977695167286245,253
"cd8_tcell",0.952197802197802,0.477582846003899,38
"gastric_organoid",1,0.986301369863014,96
