"display","moi","q25","q75","n","F1"
"fishash (refit10)",0.1,0.949331025933959,0.952182139331635,10,0.95019745923002
"fishash (refit10)",0.3,0.945915531914334,0.948373234991131,10,0.946650583029012
"fishash (refit10)",0.5,0.945140174856501,0.946468326706547,10,0.945773537274904
"fishash (refit10)",1,0.937635579601094,0.938944550660181,10,0.937991115889447
"fishash (refit10)",2,0.913573132744237,0.916926899940238,10,0.915092024657193
"fishash (refit10)",3,0.881138579027587,0.885369968073753,10,0.88222692637305
"fishash (refit10)",5,0.80996095621152,0.817831295952357,10,0.815984105861776
"fishash (refit10)",10,0.651049800258184,0.660342581829766,10,0.657055046742626
"fishash+",0.1,0.844366372987277,0.849641623377807,10,0.848631161291156
"fishash+",0.3,0.849886531458683,0.860841487509486,10,0.854545774446596
"fishash+",0.5,0.865430260062073,0.870157061452628,10,0.86678687310146
"fishash+",1,0.883289613529196,0.885436010306881,10,0.885000528626158
"fishash+",2,0.899173731010066,0.904150182517046,10,0.902565746029968
"fishash+",3,0.895583234677724,0.89860460856047,10,0.89729830610853
"fishash+",5,0.864171343244707,0.870390565493136,10,0.868621717265427
"fishash+",10,0.760146402526401,0.768006168982453,10,0.764838518727359
