"moi","fishash+ Poisson (ours)","fishash","raw_count"
0.1,0.985212493583248,0.987722411855068,0.970406913923057
0.1,0.983873524435574,0.986690501355894,0.959645003279782
0.1,0.982747760872288,0.984932541582091,0.968655929827285
0.1,0.984657688215881,0.987380055132686,0.96841996248302
0.1,0.984537011461656,0.987020113029204,0.967049127556728
0.1,0.983984390698622,0.986100421448095,0.965188684643261
0.1,0.983439178237133,0.985730224105561,0.967302116246228
0.1,0.984969978814538,0.987217647914756,0.971834851793298
0.1,0.982796774854651,0.985352016772965,0.966106091529448
0.1,0.984657516365625,0.987023849356485,0.967882617377078
0.3,0.984204060518559,0.984817228585497,0.961933343985677
0.3,0.982701800493809,0.98382763359158,0.966796334341276
0.3,0.98332671954616,0.983904509949238,0.966109597929537
0.3,0.982485959229038,0.982868610139233,0.966739573987097
0.3,0.981340658236945,0.982125579444167,0.960754645186506
0.3,0.982528947177629,0.983536128397168,0.967633629965456
0.3,0.984121731045972,0.984085903622366,0.967311810254431
0.3,0.985487551874772,0.985287231996251,0.962241703973004
0.3,0.980105884220624,0.980899840464609,0.96384453459648
0.3,0.983108598843125,0.98419686169514,0.956503472347393
0.5,0.983311887168896,0.981819614290427,0.96724033368905
0.5,0.98048195557421,0.979716559347626,0.964567225214134
0.5,0.981366058017214,0.980620110447282,0.961060905691182
0.5,0.980633547210383,0.979645763987005,0.964688252892871
0.5,0.982441005079897,0.981563216050609,0.969377933062544
0.5,0.980906457040724,0.979869112097986,0.96806324346481
0.5,0.980458860456574,0.979736818524289,0.963840551763415
0.5,0.980213674036256,0.97882645398884,0.96225990195676
0.5,0.980824871084838,0.979806673479134,0.963753191946858
0.5,0.982926694481266,0.981874103538562,0.966438053753913
1,0.9768722623241,0.972021018310145,0.956517317630783
1,0.978255534883042,0.974314691878095,0.961542627453562
1,0.976871274360611,0.972232938739485,0.96289627677416
1,0.975948452316748,0.971272884137533,0.96087082149534
1,0.977807465761733,0.973517937348416,0.956026483612353
1,0.97775277601023,0.974104326340573,0.95874712259781
1,0.976150488521475,0.971187597006447,0.95967953451959
1,0.977660064053266,0.973327420881319,0.963131743188
1,0.978288237600285,0.974088915942643,0.962474427970665
1,0.978574535596915,0.973547505515936,0.959835825156983
10,0.925267230320143,0.913973074496876,0.906397294497024
10,0.922907122645504,0.908314546711201,0.908887563635984
10,0.923208012447376,0.911834387118344,0.906072693684521
10,0.927910385690145,0.917315060713463,0.91224304387197
10,0.921919120933857,0.910027782408477,0.90425705340853
10,0.918913386283261,0.906748050857416,0.897326704080388
10,0.925758446584006,0.914028436229365,0.907405961369095
10,0.924431854026117,0.914179862215215,0.907199940313265
10,0.923027305022311,0.90964553324058,0.904914226528423
10,0.922394239013005,0.911503965100592,0.903853498046967
2,0.967708937334026,0.957566500575613,0.948461790623332
2,0.969113761448666,0.959199628455384,0.947602037422593
2,0.969954119591126,0.961853301229287,0.950668865771097
2,0.969901588441118,0.961261841898144,0.953774589082589
2,0.969808441638803,0.96008755074807,0.951353709297285
2,0.968454744173293,0.957983920535985,0.950052923252203
2,0.970655797648834,0.961086444599912,0.950282353928839
2,0.969574459722005,0.961716781577675,0.953034281091444
2,0.970368155417455,0.961514201036766,0.949543136404155
2,0.968568205918553,0.960142316482958,0.952026360360666
3,0.958670309980248,0.947924858567906,0.939773289209603
3,0.962854339690338,0.952218691854133,0.940859787618045
3,0.958120123028411,0.945820349401108,0.94042438923402
3,0.961672680294388,0.952524474362463,0.942061310291963
3,0.961209680498615,0.951131185489407,0.941744690577911
3,0.958426901385472,0.944798632141856,0.93767428991094
3,0.960574371906231,0.950320077320767,0.941424403758444
3,0.962653435552765,0.952623025029629,0.939620000419337
3,0.960000018864922,0.949388332219433,0.940157093403591
3,0.960205755138884,0.948366231482319,0.937786676083926
5,0.947576861155475,0.936431385344787,0.931597625049581
5,0.94719082733438,0.93409035146101,0.925783536317106
5,0.945119926665382,0.932557582406644,0.920877201548508
5,0.943898850734368,0.929338707705204,0.926375127777564
5,0.945242947980179,0.933916903588857,0.923657838495793
5,0.950227625654111,0.938884048304407,0.934048255488499
5,0.949738280214839,0.939613121433924,0.926900566481161
5,0.943058346031546,0.928914322683402,0.921340053329165
5,0.945422777698503,0.932246978030411,0.927179975798571
5,0.946218924610185,0.933116009072532,0.921763155535396
