"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_poisson_rawd","nguides_20_iter_5","full",379467,8506,53,11974,0.995593248524154,0.58466796875,0.133579969406128
"fishash_poisson_rawd","nguides_20_iter_5","nonzero",137495,7393,53,11974,0.995593248524154,0.618268188155109,0.133579969406128
"fishash+_contingency","nguides_20_iter_5","full",379221,7311,299,13169,0.977799227799228,0.643017578125,0.273977994918823
"fishash+_contingency","nguides_20_iter_5","nonzero",137249,6198,299,13169,0.977799227799228,0.679971084835029,0.273977994918823
"fishash_refit0","nguides_20_iter_6","full",379456,8544,61,11939,0.994916666666667,0.582873602499634,0.116314888000488
"fishash_refit0","nguides_20_iter_6","nonzero",137774,7486,61,11939,0.994916666666667,0.614620334620335,0.116314888000488
"fishash_refit10","nguides_20_iter_6","full",379453,8654,64,11829,0.99461868325906,0.57750329541571,0.53597903251648
"fishash_refit10","nguides_20_iter_6","nonzero",137771,7596,64,11829,0.99461868325906,0.608957528957529,0.53597903251648
"fishash+_poisson","nguides_20_iter_6","full",379370,8768,147,11715,0.987607486090035,0.571937704437827,0.135715007781982
"fishash+_poisson","nguides_20_iter_6","nonzero",137688,7710,147,11715,0.987607486090035,0.603088803088803,0.135715007781982
"fishash_poisson_rawd","nguides_20_iter_6","full",379477,9521,40,10962,0.996364297400473,0.535175511399697,0.137499094009399
"fishash_poisson_rawd","nguides_20_iter_6","nonzero",137795,8463,40,10962,0.996364297400473,0.564324324324324,0.137499094009399
"fishash+_contingency","nguides_20_iter_6","full",379291,8257,226,12226,0.98185030517186,0.596885221891325,0.267895936965942
"fishash+_contingency","nguides_20_iter_6","nonzero",137609,7199,226,12226,0.98185030517186,0.629395109395109,0.267895936965942
"fishash_refit0","nguides_20_iter_7","full",379326,7809,83,12782,0.993548387096774,0.620756641251032,0.118349075317383
"fishash_refit0","nguides_20_iter_7","nonzero",142095,6507,83,12782,0.993548387096774,0.662657473171237,0.118349075317383
"fishash_refit10","nguides_20_iter_7","full",379338,7842,71,12749,0.994461778471139,0.619153999320091,0.645857810974121
"fishash_refit10","nguides_20_iter_7","nonzero",142107,6540,71,12749,0.994461778471139,0.660946653533102,0.645857810974121
"fishash+_poisson","nguides_20_iter_7","full",379230,7821,179,12770,0.986176538728859,0.620173862367054,0.137603998184204
"fishash+_poisson","nguides_20_iter_7","nonzero",141999,6519,179,12770,0.986176538728859,0.662035356939188,0.137603998184204
"fishash_poisson_rawd","nguides_20_iter_7","full",379366,8408,43,12183,0.996482905283821,0.591666261959108,0.138390064239502
"fishash_poisson_rawd","nguides_20_iter_7","nonzero",142135,7106,43,12183,0.996482905283821,0.631603504588107,0.138390064239502
"fishash+_contingency","nguides_20_iter_7","full",379159,7510,250,13081,0.981246718175681,0.635277548443495,0.286448001861572
"fishash+_contingency","nguides_20_iter_7","nonzero",141928,6208,250,13081,0.981246718175681,0.678158535953134,0.286448001861572
"fishash_refit0","nguides_20_iter_8","full",379335,8009,56,12600,0.995575221238938,0.611383376194866,0.111475944519043
"fishash_refit0","nguides_20_iter_8","nonzero",128482,6790,56,12600,0.995575221238938,0.649819494584838,0.111475944519043
"fishash_refit10","nguides_20_iter_8","full",379324,8117,67,12492,0.994665180348754,0.606142947256053,0.536715984344482
"fishash_refit10","nguides_20_iter_8","nonzero",128471,6898,67,12492,0.994665180348754,0.644249613202682,0.536715984344482
"fishash+_poisson","nguides_20_iter_8","full",379237,8220,154,12389,0.987722235509846,0.601145130768111,0.134568929672241
"fishash+_poisson","nguides_20_iter_8","nonzero",128384,7001,154,12389,0.987722235509846,0.63893759669933,0.134568929672241
"fishash_poisson_rawd","nguides_20_iter_8","full",379351,8903,40,11706,0.996594585390771,0.568004269979135,0.134832143783569
"fishash_poisson_rawd","nguides_20_iter_8","nonzero",128498,7684,40,11706,0.996594585390771,0.60371325425477,0.134832143783569
"fishash+_contingency","nguides_20_iter_8","full",379159,7691,232,12918,0.982357414448669,0.626813528070261,0.279757976531982
"fishash+_contingency","nguides_20_iter_8","nonzero",128306,6472,232,12918,0.982357414448669,0.66621970087674,0.279757976531982
"fishash_refit0","nguides_20_iter_9","full",379564,9368,75,10993,0.99322370798699,0.539904719807475,0.106077194213867
"fishash_refit0","nguides_20_iter_9","nonzero",102623,8368,75,10993,0.99322370798699,0.567790919890502,0.106077194213867
"fishash_refit10","nguides_20_iter_9","full",379569,9728,70,10633,0.99345977763244,0.522223859338932,0.532049894332886
"fishash_refit10","nguides_20_iter_9","nonzero",102628,8728,70,10633,0.99345977763244,0.54919683900625,0.532049894332886
"fishash+_poisson","nguides_20_iter_9","full",379455,10138,184,10223,0.982319592581916,0.502087323805314,0.11269998550415
"fishash+_poisson","nguides_20_iter_9","nonzero",102514,9138,184,10223,0.982319592581916,0.528020246888074,0.11269998550415
"fishash_poisson_rawd","nguides_20_iter_9","full",379580,11060,59,9301,0.993696581196581,0.456804675605324,0.139930009841919
"fishash_poisson_rawd","nguides_20_iter_9","nonzero",102639,10060,59,9301,0.993696581196581,0.480398739734518,0.139930009841919
"fishash+_contingency","nguides_20_iter_9","full",379420,9389,219,10972,0.980430703243678,0.538873336280143,0.265161991119385
"fishash+_contingency","nguides_20_iter_9","nonzero",102479,8389,219,10972,0.980430703243678,0.566706265172254,0.265161991119385
"fishash_refit0","nguides_20_iter_10","full",379346,8523,92,12039,0.992416123979886,0.585497519696528,0.110725879669189
"fishash_refit0","nguides_20_iter_10","nonzero",113027,7369,92,12039,0.992416123979886,0.620311211871393,0.110725879669189
"fishash_refit10","nguides_20_iter_10","full",379373,8605,65,11957,0.994593245716187,0.58150958078008,0.582329034805298
"fishash_refit10","nguides_20_iter_10","nonzero",113054,7451,65,11957,0.994593245716187,0.61608615004122,0.582329034805298
"fishash+_poisson","nguides_20_iter_10","full",379270,9023,168,11539,0.985649611343641,0.56118081898648,0.124634027481079
"fishash+_poisson","nguides_20_iter_10","nonzero",112951,7869,168,11539,0.985649611343641,0.594548639736191,0.124634027481079
"fishash_poisson_rawd","nguides_20_iter_10","full",379380,9864,58,10698,0.994607660840461,0.52028012839218,0.146546125411987
"fishash_poisson_rawd","nguides_20_iter_10","nonzero",113061,8710,58,10698,0.994607660840461,0.551215993404782,0.146546125411987
"fishash+_contingency","nguides_20_iter_10","full",379239,8180,199,12382,0.98418249741674,0.60217877638362,0.258448839187622
"fishash+_contingency","nguides_20_iter_10","nonzero",112920,7026,199,12382,0.98418249741674,0.637984336356142,0.258448839187622
"fishash_refit0","nguides_200_iter_1","full",3979147,5721,97,15035,0.993589743589744,0.724368857197919,0.15572714805603
"fishash_refit0","nguides_200_iter_1","nonzero",278316,3814,97,15035,0.993589743589744,0.797655048013157,0.15572714805603
"fishash_refit10","nguides_200_iter_1","full",3979140,5707,104,15049,0.993136672606085,0.725043360955868,0.625037908554077
"fishash_refit10","nguides_200_iter_1","nonzero",278309,3800,104,15049,0.993136672606085,0.798397792986365,0.625037908554077
"fishash+_poisson","nguides_200_iter_1","full",3978917,5586,327,15170,0.978899141769375,0.730873000578146,0.162993907928467
"fishash+_poisson","nguides_200_iter_1","nonzero",278086,3679,327,15170,0.978899141769375,0.804817231683378,0.162993907928467
"fishash_poisson_rawd","nguides_200_iter_1","full",3979150,5810,94,14946,0.99375,0.720080940450954,0.166865110397339
"fishash_poisson_rawd","nguides_200_iter_1","nonzero",278319,3903,94,14946,0.99375,0.792933312112048,0.166865110397339
"fishash+_contingency","nguides_200_iter_1","full",3978883,5541,361,15215,0.976823317925013,0.733041048371555,0.411455869674683
"fishash+_contingency","nguides_200_iter_1","nonzero",278052,3634,361,15215,0.976823317925013,0.807204626240119,0.411455869674683
"fishash_refit0","nguides_200_iter_2","full",3979029,5459,100,15412,0.993553378029912,0.73844089885487,0.153980016708374
