"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_poisson_rawd","nguides_20_iter_5","full",379524,2309,40,18127,0.997798205537513,0.887013114112351,0.186413049697876
"fishash_poisson_rawd","nguides_20_iter_5","nonzero",153568,2148,40,18127,0.997798205537513,0.894056720098644,0.186413049697876
"fishash+_contingency","nguides_20_iter_5","full",378495,1445,1069,18991,0.946709870388833,0.929291446467019,0.402466058731079
"fishash+_contingency","nguides_20_iter_5","nonzero",152539,1284,1069,18991,0.946709870388833,0.936670776818742,0.402466058731079
"fishash_refit0","nguides_20_iter_6","full",378812,2019,590,18579,0.969221138296207,0.901980774832508,0.141516923904419
"fishash_refit0","nguides_20_iter_6","nonzero",182731,1912,590,18579,0.969221138296207,0.906690742277097,0.141516923904419
"fishash_refit10","nguides_20_iter_6","full",379334,2073,68,18525,0.996342709621901,0.8993591610836,0.924644947052002
"fishash_refit10","nguides_20_iter_6","nonzero",183253,1966,68,18525,0.996342709621901,0.904055438973208,0.924644947052002
"fishash+_poisson","nguides_20_iter_6","full",378418,1462,984,19136,0.951093439363817,0.929022235168463,0.271198987960815
"fishash+_poisson","nguides_20_iter_6","nonzero",182337,1355,984,19136,0.951093439363817,0.933873407837587,0.271198987960815
"fishash_poisson_rawd","nguides_20_iter_6","full",379351,2192,51,18406,0.997236820718427,0.893581901155452,0.162638902664185
"fishash_poisson_rawd","nguides_20_iter_6","nonzero",183270,2085,51,18406,0.997236820718427,0.898248011322044,0.162638902664185
"fishash+_contingency","nguides_20_iter_6","full",378344,1488,1058,19110,0.947540658468862,0.927759976696767,0.422528028488159
"fishash+_contingency","nguides_20_iter_6","nonzero",182263,1381,1058,19110,0.947540658468862,0.932604558098677,0.422528028488159
"fishash_refit0","nguides_20_iter_7","full",379087,2189,386,18338,0.979384746848964,0.893359964924246,0.140551090240479
"fishash_refit0","nguides_20_iter_7","nonzero",189806,2109,386,18338,0.979384746848964,0.896855284393799,0.140551090240479
"fishash_refit10","nguides_20_iter_7","full",379410,2109,63,18418,0.996591093555544,0.897257270911482,0.949106931686401
"fishash_refit10","nguides_20_iter_7","nonzero",190129,2029,63,18418,0.996591093555544,0.900767838802758,0.949106931686401
"fishash+_poisson","nguides_20_iter_7","full",378770,1553,703,18974,0.964273009096915,0.924343547522775,0.204067945480347
"fishash+_poisson","nguides_20_iter_7","nonzero",189489,1473,703,18974,0.964273009096915,0.927960091945029,0.204067945480347
"fishash_poisson_rawd","nguides_20_iter_7","full",379426,2272,47,18255,0.99743197464758,0.889316509962488,0.18169093132019
"fishash_poisson_rawd","nguides_20_iter_7","nonzero",190145,2192,47,18255,0.99743197464758,0.892796009194503,0.18169093132019
"fishash+_contingency","nguides_20_iter_7","full",378698,1541,775,18986,0.960781336976874,0.92492814342086,0.375998020172119
"fishash+_contingency","nguides_20_iter_7","nonzero",189417,1461,775,18986,0.960781336976874,0.928546975106373,0.375998020172119
