"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi","method","jaccard","precision","recall","fdr_pooled","recall_pooled","n_pred","n_true"
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8,"ambient",0.890059956383885,0.894085407128571,0.995327454833157,0.134783338931811,0.995458937198068,11908,10350
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8,"otsu",0.961703126026017,0.974338819945877,0.987363173449038,0.256607609642753,0.989178743961353,13772,10350
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8,"valley",0.987929375614976,0.999887005649718,0.988042369965258,9.74279033515199e-05,0.991594202898551,10264,10350
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8,"fishash",0.983859974810169,0.998434858255706,0.98534904440869,0.00165950800468567,0.988115942028986,10244,10350
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8,"depth_fix",0.980566002308419,0.982562748387032,0.997968633268699,0.0138398396487544,0.998260869565217,10477,10350
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8,"sceptre",0.980992990697701,0.988412089389932,0.991843982312266,0.0119368502117828,0.991690821256039,10388,10350
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"geomux",0.742283882751622,0.999849606111244,0.74238303462573,0.000203376042302217,0.756540473991998,9834,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"crispat",0.932333764446884,0.996233513379924,0.935218494018569,0.00204415372035977,0.939135118497999,12230,12996
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"geomux",0.727534185848798,0.916847917425459,0.781379617690307,0.146739130434783,0.79157518093844,11408,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"crispat",0.771483068304596,0.927461492082034,0.824875971276922,0.258642765685019,0.847523786289339,14058,12297
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"geomux",0.512367504692983,0.999758815749089,0.512394590563839,0.000168333165000168,0.507536657893837,29703,58514
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"crispat",0.927864111519264,0.972521360882783,0.952624872421099,0.0535690190257725,0.958949994873022,59288,58514
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"geomux",0.90134013125623,1,0.90134013125623,0,0.873377040750739,6794,7779
"B","B__regime__dctap_k562_lowmoi_GSE303901",NA,"dctap_k562_lowmoi_GSE303901",NA,"cal",508,"low",1.3,"crispat",0.975008997043667,0.990972999891087,0.983855579466362,0.027735368956743,0.982388481810001,7860,7779
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"geomux",0.705330331785838,1,0.705330331785838,0,0.712832108535896,7566,10614
"B","B__regime__endoc_t2d_perturbseq_GSE273677",NA,"endoc_t2d_perturbseq_GSE273677",NA,"cal",223,"low",1.8,"crispat",0.977449328020961,0.999931516230653,0.977517355231845,9.6749226006192e-05,0.973713962690786,10336,10614
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"geomux",0.631948469480198,0.636539743478768,0.993360910107803,0.743001983689663,0.981646741875737,22685,5939
"B","B__regime__gastric_organoid_cropseq_GSE280506",NA,"gastric_organoid_cropseq_GSE280506",NA,"cal",86,"low",1,"crispat",0.832607143073521,0.84827032063418,0.981810732322345,0.786420443947025,0.963966997811079,26805,5939
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"geomux",0.360434967514798,1,0.360434967514798,0,0.393514827049398,20728,52674
"B","B__regime__invivo_cortex_perturbseq_GSE249416",NA,"invivo_cortex_perturbseq_GSE249416",NA,"cal",365,"high",8.9,"crispat",0.934486742764513,0.992611295123175,0.9395553414343,0.00642130923360485,0.951759881535482,50457,52674
"B","B__regime__ipsc_crispri_hipsci_figshare27989294",NA,"ipsc_crispri_hipsci_figshare27989294",NA,"cal",557,"low",0,"geomux",0.938778877887789,1,0.938778877887789,0,0.915178571428571,205,224
"B","B__regime__ipsc_crispri_hipsci_figshare27989294",NA,"ipsc_crispri_hipsci_figshare27989294",NA,"cal",557,"low",0,"crispat",0,NA,0,NA,0,0,224
"B","B__regime__perturb_multiome_erythroid_GSE274113",NA,"perturb_multiome_erythroid_GSE274113",NA,"cal",26,"low",2.4,"geomux",0.937558864137675,0.947395783946486,0.98945461899919,0.0757516848107828,0.988563903520931,15432,14428
"B","B__regime__perturb_multiome_erythroid_GSE274113",NA,"perturb_multiome_erythroid_GSE274113",NA,"cal",26,"low",2.4,"crispat",0.976782962858428,0.997454424917185,0.978924582524948,0.00204715516024283,0.979830884391461,14166,14428
"B","B__regime__tcell_cd4_perturbseq_GSE314342",NA,"tcell_cd4_perturbseq_GSE314342",NA,"cal",80,"low",0.1,"geomux",0.963029267029267,1,0.963029267029267,0,0.96304347826087,886,920
"B","B__regime__tcell_cd4_perturbseq_GSE314342",NA,"tcell_cd4_perturbseq_GSE314342",NA,"cal",80,"low",0.1,"crispat",0.990111111111111,1,0.990111111111111,0,0.992391304347826,913,920
"B","B__regime__gasperini",NA,"gasperini",NA,"cal",21,"low",0.3,"geomux",0.593590767377897,0.60359697492048,0.976712106109736,0.788804373662943,0.973165388828039,8414,1826
"B","B__regime__gasperini",NA,"gasperini",NA,"cal",21,"low",0.3,"crispat",0.769299339361649,0.839665630050158,0.912212811299571,0.691994823442411,0.912376779846659,5409,1826
"B","B__regime__replogle",NA,"replogle",NA,"cal",1106,"low",0.1,"geomux",0,NA,0,NA,0,0,463
"B","B__regime__replogle",NA,"replogle",NA,"cal",1106,"low",0.1,"crispat",0,NA,0,NA,0,0,463
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8,"geomux",0.945112143769632,1,0.945112143769632,0,0.943285024154589,9763,10350
"B","B__regime__schraivogel",NA,"schraivogel",NA,"cal",68,"low",1.8,"crispat",0.985476060074206,1,0.985476060074206,0,0.987729468599034,10223,10350
