"method","jaccard","precision","recall","FDR"
"depth_fix",0.854,0.962,0.887,0.041
"thresh3",0.835,0.955,0.875,0.07
"crispat",0.822,0.974,0.843,0.04
"fishash",0.806,0.974,0.828,0.027
"ambient",0.739,0.871,0.859,0.142
"valley",0.731,0.983,0.743,0.018
"sceptre",0.722,0.967,0.75,0.055
"otsu",0.7,0.917,0.778,0.165
"thresh10",0.668,0.982,0.68,0.021
"thresh20",0.55,0.989,0.555,0.011
"geomux",0.381,0.98,0.392,0.032
