"dataset","fishash","fishashplus","cleanser"
"barnyard_lrb100_0hr",88,3.18513752058583,3
"barnyard_lrb100_0hr",167,10.608008160707,10
"barnyard_lrb100_0hr",29,6.04204571104655,6
"barnyard_lrb100_0hr",24,7.02131258545253,7
"barnyard_lrb100_0hr",20,11.0307577310806,11
"barnyard_lrb100_0hr",2,2,2
"barnyard_lrb100_0hr",217,6.47933999577094,6
"barnyard_lrb100_0hr",435,22.7564439235501,20
"barnyard_lrb100_0hr",36,11.3981074828402,11
"barnyard_lrb100_0hr",20,11.0502829533923,11
"barnyard_lrb100_0hr",43,3.09186263824237,3
"barnyard_lrb100_0hr",69,15.3732745807195,12
"barnyard_lrb100_0hr",18,10.0407287112875,10
"barnyard_lrb100_0hr",26,2.01682090551306,2
"barnyard_lrb100_0hr",5,1.01197896907132,5
"barnyard_lrb100_0hr",52,9.20484433414195,9
"barnyard_lrb100_0hr",187,11.4443215214159,11
"barnyard_lrb100_0hr",98,10.4605482423192,10
"barnyard_lrb100_0hr",44,11.0675408896724,11
"barnyard_lrb100_0hr",169,5.18495864461822,5
"barnyard_lrb100_0hr",121,22.4482634372018,22
"barnyard_lrb100_0hr",15,1.00897147296137,1
"barnyard_lrb100_0hr",92,17.3041015290882,17
"barnyard_lrb100_0hr",44,2.03690205708304,2
"barnyard_lrb100_0hr",34,10.2870880292282,10
"barnyard_lrb100_0hr",97,4.19128066546175,4
"barnyard_lrb100_0hr",153,1.04956836841397,1
"barnyard_lrb100_0hr",43,1.02352078773162,1
"barnyard_lrb100_0hr",23,2.02092940498045,4
"barnyard_lrb100_0hr",155,23.832703139632,23
"barnyard_lrb100_0hr",439,20.7512487529974,19
"barnyard_lrb100_0hr",97,0,2
"barnyard_lrb100_0hr",4,4,4
"barnyard_lrb100_0hr",4,4,4
"barnyard_lrb100_0hr",42,9.07216155152839,9
"barnyard_lrb100_0hr",88,9.4046726532255,9
"barnyard_lrb100_0hr",5,5,5
"barnyard_lrb100_0hr",6,1.00272919897354,1
"barnyard_lrb100_0hr",22,4.04855982558836,6
"barnyard_lrb100_0hr",20,11.1717595237596,11
"barnyard_lrb100_0hr",23,15.0630031425288,15
"barnyard_lrb100_0hr",86,13.1429022176716,13
"barnyard_lrb100_0hr",119,16.3431194901145,16
"barnyard_lrb100_0hr",2,2,2
"barnyard_lrb100_0hr",194,5.30535366110293,5
"barnyard_lrb100_0hr",69,4.1074720283448,8
"barnyard_lrb100_0hr",33,3.05380208570066,5
"barnyard_lrb100_0hr",13,5.00925343162636,5
"barnyard_lrb100_0hr",10,6.02821974891155,6
"barnyard_lrb100_0hr",232,15.7037693993706,15
"barnyard_lrb100_0hr",67,3.13071711397874,5
"barnyard_lrb100_0hr",47,8.12247818125312,8
"barnyard_lrb100_0hr",360,23.3140802687114,22
"barnyard_lrb100_0hr",36,4.05664341937405,6
"barnyard_lrb100_0hr",176,9.52615852528285,9
"barnyard_lrb100_0hr",424,4.53589359892921,4
"barnyard_lrb100_0hr",44,8.06914071121158,8
"barnyard_lrb100_0hr",66,16.4342795748973,16
"barnyard_lrb100_0hr",315,5.16621031557992,5
"barnyard_lrb100_0hr",226,2.33984610308943,2
"barnyard_lrb100_0hr",40,1.03841993856985,1
"barnyard_lrb100_0hr",24,4.03771851010204,4
"barnyard_lrb100_0hr",60,1.02851859728321,1
"barnyard_lrb100_0hr",181,17.5829171181391,16
"barnyard_lrb100_0hr",831,14.996656133632,14
"barnyard_lrb100_0hr",22,9.25395603949805,9
"barnyard_lrb100_0hr",38,11.2327680161826,11
"barnyard_lrb100_0hr",44,3.05487247880156,3
"barnyard_lrb100_0hr",179,4.12872831928681,4
"barnyard_lrb100_0hr",221,2.11953682560413,2
"barnyard_lrb100_0hr",3,3,3
"barnyard_lrb100_0hr",10,10,10
"barnyard_lrb100_0hr",163,19.4355292777703,19
"barnyard_lrb100_0hr",320,2.18197394087509,2
"barnyard_lrb100_0hr",106,8.74769531399207,8
"barnyard_lrb100_0hr",15,5.02783664932063,5
"barnyard_lrb100_0hr",87,8.12020762990949,8
"barnyard_lrb100_0hr",85,7.2186908839292,7
"barnyard_lrb100_0hr",67,2.03866731477649,2
"barnyard_lrb100_0hr",49,16.2772864642991,16
"barnyard_lrb100_0hr",764,10.2498943397409,9
"barnyard_lrb100_0hr",3,3,3
"barnyard_lrb100_0hr",215,8.77956524249631,8
"barnyard_lrb100_0hr",63,7.15213009664875,7
"barnyard_lrb100_0hr",131,11.6198336433417,11
"barnyard_lrb100_0hr",107,16.8129735516125,16
"barnyard_lrb100_0hr",53,6.14769298845891,6
"barnyard_lrb100_0hr",185,23.6177656671419,22
"barnyard_lrb100_0hr",182,3.10454384364526,3
"barnyard_lrb100_0hr",364,8.89929696950928,8
"barnyard_lrb100_0hr",54,6.0929210936089,6
"barnyard_lrb100_0hr",158,4.28534888393855,4
"barnyard_lrb100_0hr",90,20.6443254756648,13
"barnyard_lrb100_0hr",122,8.10412146384934,8
"barnyard_lrb100_0hr",59,3.08020289960183,5
"barnyard_lrb100_0hr",34,9.10480770326834,9
"barnyard_lrb100_0hr",76,6.23626684439983,6
"barnyard_lrb100_0hr",1533,29.0784052471515,24
"barnyard_lrb100_0hr",5,3.0032314439815,5
"barnyard_lrb100_0hr",306,23.1419223949966,21
"barnyard_lrb100_0hr",175,11.3989171205077,11
"barnyard_lrb100_0hr",105,15.4292618675735,15
"barnyard_lrb100_0hr",12,9.03342696493059,9
"barnyard_lrb100_0hr",45,1.02848864131512,3
"barnyard_lrb100_0hr",97,29.9812567480129,26
"barnyard_lrb100_0hr",63,4.18239020443429,4
"barnyard_lrb100_0hr",26,5.04039160138697,5
"barnyard_lrb100_0hr",56,5.07856764735058,5
"barnyard_lrb100_0hr",151,8.57519722366722,8
"barnyard_lrb100_0hr",95,8.24337250403762,8
"barnyard_lrb100_0hr",170,9.42163904024641,9
"barnyard_lrb100_0hr",367,26.9513390566789,26
"barnyard_lrb100_0hr",253,7.32367463972854,7
"barnyard_lrb100_0hr",102,8.27208106422131,8
"barnyard_lrb100_0hr",121,9.20850799329124,9
"barnyard_lrb100_0hr",30,8.06497902662872,8
"barnyard_lrb100_0hr",24,3.04590915863727,5
"barnyard_lrb100_0hr",27,10.1230613826671,10
"barnyard_lrb100_0hr",123,13.4139637390691,13
"barnyard_lrb100_0hr",52,10.1383715165859,10
"barnyard_lrb100_0hr",95,9.38348614487797,9
"barnyard_lrb100_0hr",57,12.2657131947829,12
"barnyard_lrb100_0hr",42,7.0699818821125,7
"barnyard_lrb100_0hr",739,15.574482923015,14
"barnyard_lrb100_0hr",12,3.01115802483134,5
"barnyard_lrb100_0hr",445,18.1718115156521,17
"barnyard_lrb100_0hr",240,18.9178622569396,18
"barnyard_lrb100_0hr",153,13.3864169145724,13
"barnyard_lrb100_0hr",345,9.49747618577059,9
"barnyard_lrb100_0hr",24,2.02015909824182,4
"barnyard_lrb100_0hr",98,11.3047529973289,11
"barnyard_lrb100_0hr",166,4.1499361784754,4
"barnyard_lrb100_0hr",245,7.42147179566912,7
"barnyard_lrb100_0hr",85,17.3829221810884,17
"barnyard_lrb100_0hr",163,10.3442778926062,9
"barnyard_lrb100_0hr",49,9.10563212780967,9
"barnyard_lrb100_0hr",403,23.7677983824088,23
"barnyard_lrb100_0hr",38,5.05470070078966,5
"barnyard_lrb100_0hr",13,3.02592629558957,3
"barnyard_lrb100_0hr",195,10.5507780467107,10
"barnyard_lrb100_0hr",42,10.0901900727939,10
"barnyard_lrb100_0hr",24,2.01924488797441,2
"barnyard_lrb100_0hr",411,10.4856275946879,10
"barnyard_lrb100_0hr",32,4.0415114405677,4
"barnyard_lrb100_0hr",40,4.0927240661876,6
"barnyard_lrb100_0hr",4,0,4
"barnyard_lrb100_0hr",16,6.02274811943405,6
"barnyard_lrb100_0hr",294,5.15537143681896,5
"barnyard_lrb100_0hr",470,4.40651758227746,4
"barnyard_lrb100_0hr",53,1.02622915227002,1
"barnyard_lrb100_0hr",85,3.09031873764139,9
"barnyard_lrb100_0hr",88,7.17406796325233,7
"barnyard_lrb100_0hr",24,9.09507087471148,9
"barnyard_lrb100_0hr",195,4.23885549388414,4
"barnyard_lrb100_0hr",489,12.8189294705436,12
"barnyard_lrb100_0hr",22,7.03292304039681,7
"barnyard_lrb100_0hr",66,8.10643600845741,8
"barnyard_lrb100_0hr",3,1.00355108411295,3
"barnyard_lrb100_0hr",61,10.1484043392205,10
"barnyard_lrb100_0hr",55,7.38213089287877,7
"barnyard_lrb100_0hr",60,6.07036775583812,6
"barnyard_lrb100_0hr",60,14.3267858686546,14
"barnyard_lrb100_0hr",27,10.0433230811961,12
"barnyard_lrb100_0hr",68,2.02653353869185,2
"barnyard_lrb100_0hr",82,6.20724707494024,6
"barnyard_lrb100_0hr",431,6.59612177306915,6
"barnyard_lrb100_0hr",2,2,2
"barnyard_lrb100_0hr",60,0,0
"barnyard_lrb100_0hr",43,7.16616813769138,7
"barnyard_lrb100_0hr",156,9.82206270194932,9
"barnyard_lrb100_0hr",8,4.01102956647908,4
"barnyard_lrb100_0hr",24,7.03521942900797,7
"barnyard_lrb100_0hr",56,9.14308481878136,9
"barnyard_lrb100_0hr",127,23.2889722299447,19
"barnyard_lrb100_0hr",49,12.1484503123865,12
"barnyard_lrb100_0hr",47,1.01845233339415,3
"barnyard_lrb100_0hr",31,10.0747497522655,10
"barnyard_lrb100_0hr",411,8.88954875505773,8
"barnyard_lrb100_0hr",12,4.01279171298534,4
"barnyard_lrb100_0hr",89,4.14516853737333,4
"barnyard_lrb100_0hr",231,6.38450546625752,6
