"dataset","k","method","n_ambient","n_total"
"a549",32,"fishash",54,756
"a549",33,"fishash",63,748
"a549",34,"fishash",44,720
"a549",35,"fishash",43,683
"a549",36,"fishash",41,682
"a549",37,"fishash",33,680
"a549",38,"fishash",34,640
"a549",39,"fishash",32,645
"a549",40,"fishash",448,71360
"a549",1,"fishash+",54819,54819
"a549",2,"fishash+",2482,5635
"a549",3,"fishash+",147,3025
"a549",4,"fishash+",13,2485
"a549",5,"fishash+",2,2229
"a549",6,"fishash+",0,1990
"a549",7,"fishash+",0,1837
"a549",8,"fishash+",0,1738
"a549",9,"fishash+",0,1541
"a549",10,"fishash+",0,1510
"a549",11,"fishash+",0,1460
"a549",12,"fishash+",0,1331
"a549",13,"fishash+",0,1295
"a549",14,"fishash+",0,1221
"a549",15,"fishash+",0,1209
"a549",16,"fishash+",0,1136
"a549",17,"fishash+",0,1128
"a549",18,"fishash+",0,1108
"a549",19,"fishash+",0,1051
"a549",20,"fishash+",0,983
"a549",21,"fishash+",0,1028
"a549",22,"fishash+",0,924
"a549",23,"fishash+",0,941
"a549",24,"fishash+",0,849
"a549",25,"fishash+",0,901
"a549",26,"fishash+",0,881
"a549",27,"fishash+",0,806
"a549",28,"fishash+",0,886
"a549",29,"fishash+",0,784
"a549",30,"fishash+",0,784
"a549",31,"fishash+",0,796
"a549",32,"fishash+",0,756
"a549",33,"fishash+",0,748
"a549",34,"fishash+",0,720
"a549",35,"fishash+",0,683
"a549",36,"fishash+",0,682
"a549",37,"fishash+",0,680
"a549",38,"fishash+",0,640
"a549",39,"fishash+",0,645
"a549",40,"fishash+",0,71360
"cd8_tcell",1,"fishash",689,689
"cd8_tcell",2,"fishash",266,380
"cd8_tcell",3,"fishash",54,158
"cd8_tcell",4,"fishash",15,92
"cd8_tcell",5,"fishash",4,63
"cd8_tcell",6,"fishash",6,72
"cd8_tcell",7,"fishash",2,44
"cd8_tcell",8,"fishash",3,32
"cd8_tcell",9,"fishash",1,38
"cd8_tcell",10,"fishash",0,33
"cd8_tcell",11,"fishash",2,36
"cd8_tcell",12,"fishash",2,34
"cd8_tcell",13,"fishash",1,20
"cd8_tcell",14,"fishash",1,20
"cd8_tcell",15,"fishash",0,19
"cd8_tcell",16,"fishash",0,16
"cd8_tcell",17,"fishash",0,18
"cd8_tcell",18,"fishash",0,13
"cd8_tcell",19,"fishash",0,10
"cd8_tcell",20,"fishash",1,13
"cd8_tcell",21,"fishash",0,15
"cd8_tcell",22,"fishash",0,9
"cd8_tcell",23,"fishash",0,7
"cd8_tcell",24,"fishash",0,12
"cd8_tcell",25,"fishash",0,9
"cd8_tcell",26,"fishash",1,6
"cd8_tcell",27,"fishash",0,8
"cd8_tcell",28,"fishash",0,4
"cd8_tcell",29,"fishash",0,8
"cd8_tcell",30,"fishash",0,4
"cd8_tcell",31,"fishash",0,6
"cd8_tcell",32,"fishash",0,11
"cd8_tcell",33,"fishash",0,6
"cd8_tcell",34,"fishash",0,6
"cd8_tcell",35,"fishash",0,5
"cd8_tcell",36,"fishash",0,8
"cd8_tcell",37,"fishash",0,4
"cd8_tcell",38,"fishash",0,7
"cd8_tcell",39,"fishash",0,2
"cd8_tcell",40,"fishash",0,172
"cd8_tcell",1,"fishash+",689,689
"cd8_tcell",2,"fishash+",258,380
"cd8_tcell",3,"fishash+",34,158
"cd8_tcell",4,"fishash+",7,92
"cd8_tcell",5,"fishash+",0,63
"cd8_tcell",6,"fishash+",1,72
"cd8_tcell",7,"fishash+",0,44
"cd8_tcell",8,"fishash+",1,32
"cd8_tcell",9,"fishash+",0,38
"cd8_tcell",10,"fishash+",0,33
"cd8_tcell",11,"fishash+",0,36
"cd8_tcell",12,"fishash+",0,34
"cd8_tcell",13,"fishash+",0,20
"cd8_tcell",14,"fishash+",0,20
"cd8_tcell",15,"fishash+",0,19
"cd8_tcell",16,"fishash+",0,16
"cd8_tcell",17,"fishash+",0,18
"cd8_tcell",18,"fishash+",0,13
"cd8_tcell",19,"fishash+",0,10
"cd8_tcell",20,"fishash+",0,13
"cd8_tcell",21,"fishash+",0,15
"cd8_tcell",22,"fishash+",0,9
"cd8_tcell",23,"fishash+",0,7
"cd8_tcell",24,"fishash+",0,12
"cd8_tcell",25,"fishash+",0,9
"cd8_tcell",26,"fishash+",0,6
"cd8_tcell",27,"fishash+",0,8
"cd8_tcell",28,"fishash+",0,4
"cd8_tcell",29,"fishash+",0,8
"cd8_tcell",30,"fishash+",0,4
"cd8_tcell",31,"fishash+",0,6
"cd8_tcell",32,"fishash+",0,11
"cd8_tcell",33,"fishash+",0,6
"cd8_tcell",34,"fishash+",0,6
"cd8_tcell",35,"fishash+",0,5
"cd8_tcell",36,"fishash+",0,8
"cd8_tcell",37,"fishash+",0,4
"cd8_tcell",38,"fishash+",0,7
"cd8_tcell",39,"fishash+",0,2
"cd8_tcell",40,"fishash+",0,172
"dctap_k562_highmoi",1,"fishash",218731,218731
"dctap_k562_highmoi",2,"fishash",114815,114837
"dctap_k562_highmoi",3,"fishash",64120,64204
"dctap_k562_highmoi",4,"fishash",37665,37840
"dctap_k562_highmoi",5,"fishash",23359,23581
"dctap_k562_highmoi",6,"fishash",15155,15443
"dctap_k562_highmoi",7,"fishash",10222,10543
"dctap_k562_highmoi",8,"fishash",7051,7365
"dctap_k562_highmoi",9,"fishash",5195,5575
"dctap_k562_highmoi",10,"fishash",3735,4081
"dctap_k562_highmoi",11,"fishash",2856,3227
"dctap_k562_highmoi",12,"fishash",2230,2591
"dctap_k562_highmoi",13,"fishash",1732,2089
"dctap_k562_highmoi",14,"fishash",1450,1837
"dctap_k562_highmoi",15,"fishash",1189,1558
"dctap_k562_highmoi",16,"fishash",943,1302
"dctap_k562_highmoi",17,"fishash",791,1155
"dctap_k562_highmoi",18,"fishash",712,1089
"dctap_k562_highmoi",19,"fishash",594,993
"dctap_k562_highmoi",20,"fishash",527,886
"dctap_k562_highmoi",21,"fishash",480,850
"dctap_k562_highmoi",22,"fishash",395,799
"dctap_k562_highmoi",23,"fishash",390,789
"dctap_k562_highmoi",24,"fishash",332,708
"dctap_k562_highmoi",25,"fishash",323,726
"dctap_k562_highmoi",26,"fishash",276,648
"dctap_k562_highmoi",27,"fishash",256,610
"dctap_k562_highmoi",28,"fishash",244,609
"dctap_k562_highmoi",29,"fishash",211,633
"dctap_k562_highmoi",30,"fishash",168,566
"dctap_k562_highmoi",31,"fishash",209,623
"dctap_k562_highmoi",32,"fishash",195,613
"dctap_k562_highmoi",33,"fishash",213,600
"dctap_k562_highmoi",34,"fishash",190,574
"dctap_k562_highmoi",35,"fishash",173,540
"dctap_k562_highmoi",36,"fishash",178,587
"dctap_k562_highmoi",37,"fishash",153,487
"dctap_k562_highmoi",38,"fishash",147,556
"dctap_k562_highmoi",39,"fishash",154,528
"dctap_k562_highmoi",40,"fishash",11335,92860
"dctap_k562_highmoi",1,"fishash+",218731,218731
"dctap_k562_highmoi",2,"fishash+",114788,114837
"dctap_k562_highmoi",3,"fishash+",63834,64204
"dctap_k562_highmoi",4,"fishash+",37181,37840
"dctap_k562_highmoi",5,"fishash+",22816,23581
"dctap_k562_highmoi",6,"fishash+",14616,15443
"dctap_k562_highmoi",7,"fishash+",9680,10543
"dctap_k562_highmoi",8,"fishash+",6579,7365
"dctap_k562_highmoi",9,"fishash+",4738,5575
"dctap_k562_highmoi",10,"fishash+",3310,4081
"dctap_k562_highmoi",11,"fishash+",2489,3227
"dctap_k562_highmoi",12,"fishash+",1819,2591
"dctap_k562_highmoi",13,"fishash+",1383,2089
"dctap_k562_highmoi",14,"fishash+",1084,1837
"dctap_k562_highmoi",15,"fishash+",844,1558
"dctap_k562_highmoi",16,"fishash+",629,1302
"dctap_k562_highmoi",17,"fishash+",512,1155
"dctap_k562_highmoi",18,"fishash+",430,1089
"dctap_k562_highmoi",19,"fishash+",334,993
"dctap_k562_highmoi",20,"fishash+",281,886
"dctap_k562_highmoi",21,"fishash+",251,850
"dctap_k562_highmoi",22,"fishash+",165,799
"dctap_k562_highmoi",23,"fishash+",149,789
"dctap_k562_highmoi",24,"fishash+",106,708
"dctap_k562_highmoi",25,"fishash+",107,726
"dctap_k562_highmoi",26,"fishash+",80,648
"dctap_k562_highmoi",27,"fishash+",69,610
"dctap_k562_highmoi",28,"fishash+",54,609
"dctap_k562_highmoi",29,"fishash+",45,633
"dctap_k562_highmoi",30,"fishash+",23,566
"dctap_k562_highmoi",31,"fishash+",39,623
"dctap_k562_highmoi",32,"fishash+",32,613
"dctap_k562_highmoi",33,"fishash+",34,600
"dctap_k562_highmoi",34,"fishash+",31,574
"dctap_k562_highmoi",35,"fishash+",15,540
"dctap_k562_highmoi",36,"fishash+",28,587
"dctap_k562_highmoi",37,"fishash+",14,487
"dctap_k562_highmoi",38,"fishash+",9,556
"dctap_k562_highmoi",39,"fishash+",13,528
"dctap_k562_highmoi",40,"fishash+",84,92860
"dctap_k562_lowmoi",1,"fishash",97001,97001
"dctap_k562_lowmoi",2,"fishash",27914,27916
"dctap_k562_lowmoi",3,"fishash",9488,9507
"dctap_k562_lowmoi",4,"fishash",3751,3789
"dctap_k562_lowmoi",5,"fishash",1602,1633
"dctap_k562_lowmoi",6,"fishash",750,791
"dctap_k562_lowmoi",7,"fishash",350,405
"dctap_k562_lowmoi",8,"fishash",205,256
"dctap_k562_lowmoi",9,"fishash",100,148
"dctap_k562_lowmoi",10,"fishash",57,108
"dctap_k562_lowmoi",11,"fishash",40,79
"dctap_k562_lowmoi",12,"fishash",28,64
"dctap_k562_lowmoi",13,"fishash",19,57
"dctap_k562_lowmoi",14,"fishash",11,37
"dctap_k562_lowmoi",15,"fishash",1,30
"dctap_k562_lowmoi",16,"fishash",8,52
"dctap_k562_lowmoi",17,"fishash",3,28
"dctap_k562_lowmoi",18,"fishash",1,31
"dctap_k562_lowmoi",19,"fishash",3,37
"dctap_k562_lowmoi",20,"fishash",6,39
"dctap_k562_lowmoi",21,"fishash",2,35
"dctap_k562_lowmoi",22,"fishash",2,22
"dctap_k562_lowmoi",23,"fishash",3,31
"dctap_k562_lowmoi",24,"fishash",0,16
"dctap_k562_lowmoi",25,"fishash",1,26
"dctap_k562_lowmoi",26,"fishash",0,27
"dctap_k562_lowmoi",27,"fishash",3,31
"dctap_k562_lowmoi",28,"fishash",1,20
"dctap_k562_lowmoi",29,"fishash",0,15
"dctap_k562_lowmoi",30,"fishash",0,18
"dctap_k562_lowmoi",31,"fishash",0,16
"dctap_k562_lowmoi",32,"fishash",0,10
"dctap_k562_lowmoi",33,"fishash",1,23
"dctap_k562_lowmoi",34,"fishash",1,10
"dctap_k562_lowmoi",35,"fishash",0,13
"dctap_k562_lowmoi",36,"fishash",1,22
"dctap_k562_lowmoi",37,"fishash",0,15
"dctap_k562_lowmoi",38,"fishash",0,23
"dctap_k562_lowmoi",39,"fishash",0,20
"dctap_k562_lowmoi",40,"fishash",8,4904
"dctap_k562_lowmoi",1,"fishash+",97001,97001
"dctap_k562_lowmoi",2,"fishash+",27905,27916
"dctap_k562_lowmoi",3,"fishash+",9438,9507
"dctap_k562_lowmoi",4,"fishash+",3683,3789
"dctap_k562_lowmoi",5,"fishash+",1533,1633
"dctap_k562_lowmoi",6,"fishash+",710,791
"dctap_k562_lowmoi",7,"fishash+",309,405
"dctap_k562_lowmoi",8,"fishash+",179,256
"dctap_k562_lowmoi",9,"fishash+",81,148
"dctap_k562_lowmoi",10,"fishash+",41,108
"dctap_k562_lowmoi",11,"fishash+",21,79
"dctap_k562_lowmoi",12,"fishash+",12,64
"dctap_k562_lowmoi",13,"fishash+",6,57
"dctap_k562_lowmoi",14,"fishash+",5,37
"dctap_k562_lowmoi",15,"fishash+",0,30
"dctap_k562_lowmoi",16,"fishash+",2,52
"dctap_k562_lowmoi",17,"fishash+",1,28
"dctap_k562_lowmoi",18,"fishash+",0,31
"dctap_k562_lowmoi",19,"fishash+",0,37
"dctap_k562_lowmoi",20,"fishash+",1,39
"dctap_k562_lowmoi",21,"fishash+",1,35
"dctap_k562_lowmoi",22,"fishash+",0,22
"dctap_k562_lowmoi",23,"fishash+",1,31
"dctap_k562_lowmoi",24,"fishash+",0,16
"dctap_k562_lowmoi",25,"fishash+",0,26
"dctap_k562_lowmoi",26,"fishash+",0,27
"dctap_k562_lowmoi",27,"fishash+",0,31
"dctap_k562_lowmoi",28,"fishash+",0,20
"dctap_k562_lowmoi",29,"fishash+",0,15
"dctap_k562_lowmoi",30,"fishash+",0,18
"dctap_k562_lowmoi",31,"fishash+",0,16
"dctap_k562_lowmoi",32,"fishash+",0,10
"dctap_k562_lowmoi",33,"fishash+",0,23
"dctap_k562_lowmoi",34,"fishash+",0,10
"dctap_k562_lowmoi",35,"fishash+",0,13
"dctap_k562_lowmoi",36,"fishash+",0,22
"dctap_k562_lowmoi",37,"fishash+",0,15
"dctap_k562_lowmoi",38,"fishash+",0,23
"dctap_k562_lowmoi",39,"fishash+",0,20
"dctap_k562_lowmoi",40,"fishash+",0,4904
"endoc_t2d",1,"fishash",64063,64063
"endoc_t2d",2,"fishash",3510,3554
"endoc_t2d",3,"fishash",443,544
"endoc_t2d",4,"fishash",175,253
"endoc_t2d",5,"fishash",104,199
"endoc_t2d",6,"fishash",72,193
"endoc_t2d",7,"fishash",59,170
"endoc_t2d",8,"fishash",39,158
"endoc_t2d",9,"fishash",40,124
"endoc_t2d",10,"fishash",26,133
"endoc_t2d",11,"fishash",16,141
"endoc_t2d",12,"fishash",13,118
"endoc_t2d",13,"fishash",10,112
"endoc_t2d",14,"fishash",17,130
"endoc_t2d",15,"fishash",8,124
"endoc_t2d",16,"fishash",8,99
"endoc_t2d",17,"fishash",4,101
"endoc_t2d",18,"fishash",13,123
"endoc_t2d",19,"fishash",10,98
"endoc_t2d",20,"fishash",5,103
"endoc_t2d",21,"fishash",6,116
"endoc_t2d",22,"fishash",9,119
"endoc_t2d",23,"fishash",2,102
"endoc_t2d",24,"fishash",0,98
"endoc_t2d",25,"fishash",2,108
"endoc_t2d",26,"fishash",1,92
"endoc_t2d",27,"fishash",5,92
"endoc_t2d",28,"fishash",1,91
"endoc_t2d",29,"fishash",4,96
"endoc_t2d",30,"fishash",3,99
"endoc_t2d",31,"fishash",2,103
"endoc_t2d",32,"fishash",1,100
"endoc_t2d",33,"fishash",2,93
"endoc_t2d",34,"fishash",1,100
"endoc_t2d",35,"fishash",3,89
"endoc_t2d",36,"fishash",0,97
"endoc_t2d",37,"fishash",1,94
"endoc_t2d",38,"fishash",0,101
"endoc_t2d",39,"fishash",1,83
"endoc_t2d",40,"fishash",8,19068
"endoc_t2d",1,"fishash+",64063,64063
"endoc_t2d",2,"fishash+",3344,3554
"endoc_t2d",3,"fishash+",241,544
"endoc_t2d",4,"fishash+",42,253
"endoc_t2d",5,"fishash+",5,199
"endoc_t2d",6,"fishash+",2,193
"endoc_t2d",7,"fishash+",2,170
"endoc_t2d",8,"fishash+",0,158
"endoc_t2d",9,"fishash+",0,124
"endoc_t2d",10,"fishash+",0,133
"endoc_t2d",11,"fishash+",0,141
"endoc_t2d",12,"fishash+",0,118
"endoc_t2d",13,"fishash+",0,112
"endoc_t2d",14,"fishash+",0,130
"endoc_t2d",15,"fishash+",0,124
"endoc_t2d",16,"fishash+",0,99
"endoc_t2d",17,"fishash+",0,101
"endoc_t2d",18,"fishash+",0,123
"endoc_t2d",19,"fishash+",0,98
"endoc_t2d",20,"fishash+",0,103
"endoc_t2d",21,"fishash+",0,116
"endoc_t2d",22,"fishash+",0,119
"endoc_t2d",23,"fishash+",0,102
"endoc_t2d",24,"fishash+",0,98
"endoc_t2d",25,"fishash+",0,108
"endoc_t2d",26,"fishash+",0,92
"endoc_t2d",27,"fishash+",0,92
"endoc_t2d",28,"fishash+",0,91
"endoc_t2d",29,"fishash+",0,96
"endoc_t2d",30,"fishash+",0,99
"endoc_t2d",31,"fishash+",0,103
"endoc_t2d",32,"fishash+",0,100
"endoc_t2d",33,"fishash+",0,93
"endoc_t2d",34,"fishash+",0,100
"endoc_t2d",35,"fishash+",0,89
"endoc_t2d",36,"fishash+",0,97
"endoc_t2d",37,"fishash+",0,94
"endoc_t2d",38,"fishash+",0,101
"endoc_t2d",39,"fishash+",0,83
"endoc_t2d",40,"fishash+",0,19068
"gastric_organoid",1,"fishash",1426,1426
"gastric_organoid",2,"fishash",92,513
"gastric_organoid",3,"fishash",0,351
"gastric_organoid",4,"fishash",0,283
"gastric_organoid",5,"fishash",0,304
"gastric_organoid",6,"fishash",0,289
"gastric_organoid",7,"fishash",0,294
"gastric_organoid",8,"fishash",0,278
"gastric_organoid",9,"fishash",0,264
"gastric_organoid",10,"fishash",0,275
"gastric_organoid",11,"fishash",0,296
"gastric_organoid",12,"fishash",0,256
"gastric_organoid",13,"fishash",0,264
"gastric_organoid",14,"fishash",0,297
"gastric_organoid",15,"fishash",0,271
"gastric_organoid",16,"fishash",0,255
"gastric_organoid",17,"fishash",0,270
"gastric_organoid",18,"fishash",0,286
"gastric_organoid",19,"fishash",0,259
"gastric_organoid",20,"fishash",0,275
"gastric_organoid",21,"fishash",0,285
"gastric_organoid",22,"fishash",0,306
"gastric_organoid",23,"fishash",0,297
"gastric_organoid",24,"fishash",0,312
"gastric_organoid",25,"fishash",0,310
"gastric_organoid",26,"fishash",0,343
"gastric_organoid",27,"fishash",0,290
"gastric_organoid",28,"fishash",0,337
"gastric_organoid",29,"fishash",0,319
"gastric_organoid",30,"fishash",0,332
"gastric_organoid",31,"fishash",0,311
"gastric_organoid",32,"fishash",0,311
"gastric_organoid",33,"fishash",0,324
"gastric_organoid",34,"fishash",0,345
"gastric_organoid",35,"fishash",0,342
"gastric_organoid",36,"fishash",0,323
"gastric_organoid",37,"fishash",0,310
"gastric_organoid",38,"fishash",0,344
"gastric_organoid",39,"fishash",0,359
"gastric_organoid",40,"fishash",0,29218
"gastric_organoid",1,"fishash+",1426,1426
"gastric_organoid",2,"fishash+",92,513
"gastric_organoid",3,"fishash+",0,351
"gastric_organoid",4,"fishash+",0,283
"gastric_organoid",5,"fishash+",0,304
"gastric_organoid",6,"fishash+",0,289
"gastric_organoid",7,"fishash+",0,294
"gastric_organoid",8,"fishash+",0,278
"gastric_organoid",9,"fishash+",0,264
"gastric_organoid",10,"fishash+",0,275
"gastric_organoid",11,"fishash+",0,296
"gastric_organoid",12,"fishash+",0,256
"gastric_organoid",13,"fishash+",0,264
"gastric_organoid",14,"fishash+",0,297
"gastric_organoid",15,"fishash+",0,271
"gastric_organoid",16,"fishash+",0,255
"gastric_organoid",17,"fishash+",0,270
"gastric_organoid",18,"fishash+",0,286
"gastric_organoid",19,"fishash+",0,259
"gastric_organoid",20,"fishash+",0,275
"gastric_organoid",21,"fishash+",0,285
"gastric_organoid",22,"fishash+",0,306
"gastric_organoid",23,"fishash+",0,297
"gastric_organoid",24,"fishash+",0,312
"gastric_organoid",25,"fishash+",0,310
"gastric_organoid",26,"fishash+",0,343
"gastric_organoid",27,"fishash+",0,290
"gastric_organoid",28,"fishash+",0,337
"gastric_organoid",29,"fishash+",0,319
"gastric_organoid",30,"fishash+",0,332
"gastric_organoid",31,"fishash+",0,311
"gastric_organoid",32,"fishash+",0,311
"gastric_organoid",33,"fishash+",0,324
"gastric_organoid",34,"fishash+",0,345
"gastric_organoid",35,"fishash+",0,342
"gastric_organoid",36,"fishash+",0,323
"gastric_organoid",37,"fishash+",0,310
"gastric_organoid",38,"fishash+",0,344
"gastric_organoid",39,"fishash+",0,359
"gastric_organoid",40,"fishash+",0,29218
"invivo_cortex",1,"fishash",25379,25379
"invivo_cortex",2,"fishash",9610,9613
"invivo_cortex",3,"fishash",4233,4241
"invivo_cortex",4,"fishash",1956,1982
"invivo_cortex",5,"fishash",1159,1182
"invivo_cortex",6,"fishash",616,641
"invivo_cortex",7,"fishash",409,427
"invivo_cortex",8,"fishash",289,309
"invivo_cortex",9,"fishash",207,236
"invivo_cortex",10,"fishash",161,199
"invivo_cortex",11,"fishash",109,171
"invivo_cortex",12,"fishash",94,153
"invivo_cortex",13,"fishash",92,146
"invivo_cortex",14,"fishash",62,129
"invivo_cortex",15,"fishash",65,136
"invivo_cortex",16,"fishash",48,105
"invivo_cortex",17,"fishash",58,132
"invivo_cortex",18,"fishash",47,120
"invivo_cortex",19,"fishash",40,101
"invivo_cortex",20,"fishash",38,101
"invivo_cortex",21,"fishash",43,105
"invivo_cortex",22,"fishash",27,86
"invivo_cortex",23,"fishash",25,83
"invivo_cortex",24,"fishash",24,87
"invivo_cortex",25,"fishash",21,93
"invivo_cortex",26,"fishash",16,81
"invivo_cortex",27,"fishash",25,90
"invivo_cortex",28,"fishash",13,66
"invivo_cortex",29,"fishash",15,72
"invivo_cortex",30,"fishash",16,81
"invivo_cortex",31,"fishash",20,86
"invivo_cortex",32,"fishash",12,64
"invivo_cortex",33,"fishash",9,69
"invivo_cortex",34,"fishash",10,61
"invivo_cortex",35,"fishash",15,72
"invivo_cortex",36,"fishash",15,77
"invivo_cortex",37,"fishash",20,86
"invivo_cortex",38,"fishash",9,72
"invivo_cortex",39,"fishash",10,59
"invivo_cortex",40,"fishash",596,11465
"invivo_cortex",1,"fishash+",25379,25379
"invivo_cortex",2,"fishash+",9205,9613
"invivo_cortex",3,"fishash+",3844,4241
"invivo_cortex",4,"fishash+",1672,1982
"invivo_cortex",5,"fishash+",895,1182
"invivo_cortex",6,"fishash+",442,641
"invivo_cortex",7,"fishash+",264,427
"invivo_cortex",8,"fishash+",157,309
"invivo_cortex",9,"fishash+",100,236
"invivo_cortex",10,"fishash+",59,199
"invivo_cortex",11,"fishash+",40,171
"invivo_cortex",12,"fishash+",24,153
"invivo_cortex",13,"fishash+",19,146
"invivo_cortex",14,"fishash+",16,129
"invivo_cortex",15,"fishash+",17,136
"invivo_cortex",16,"fishash+",6,105
"invivo_cortex",17,"fishash+",5,132
"invivo_cortex",18,"fishash+",3,120
"invivo_cortex",19,"fishash+",2,101
"invivo_cortex",20,"fishash+",2,101
"invivo_cortex",21,"fishash+",3,105
"invivo_cortex",22,"fishash+",0,86
"invivo_cortex",23,"fishash+",2,83
"invivo_cortex",24,"fishash+",0,87
"invivo_cortex",25,"fishash+",0,93
"invivo_cortex",26,"fishash+",0,81
"invivo_cortex",27,"fishash+",0,90
"invivo_cortex",28,"fishash+",0,66
"invivo_cortex",29,"fishash+",0,72
"invivo_cortex",30,"fishash+",0,81
"invivo_cortex",31,"fishash+",0,86
"invivo_cortex",32,"fishash+",0,64
"invivo_cortex",33,"fishash+",0,69
"invivo_cortex",34,"fishash+",0,61
"invivo_cortex",35,"fishash+",0,72
"invivo_cortex",36,"fishash+",0,77
"invivo_cortex",37,"fishash+",0,86
"invivo_cortex",38,"fishash+",0,72
"invivo_cortex",39,"fishash+",0,59
"invivo_cortex",40,"fishash+",0,11465
"ipsc",1,"fishash",18239170,18239170
"ipsc",2,"fishash",2020293,2055142
"ipsc",3,"fishash",361034,422001
"ipsc",4,"fishash",78888,123267
"ipsc",5,"fishash",24888,54191
"ipsc",6,"fishash",11016,33214
"ipsc",7,"fishash",5954,23803
"ipsc",8,"fishash",3433,18694
"ipsc",9,"fishash",2256,15233
"ipsc",10,"fishash",1509,12959
"ipsc",11,"fishash",1043,11285
"ipsc",12,"fishash",702,9796
"ipsc",13,"fishash",535,8982
"ipsc",14,"fishash",387,8079
"ipsc",15,"fishash",357,7285
"ipsc",16,"fishash",234,6651
"ipsc",17,"fishash",207,6309
"ipsc",18,"fishash",154,5616
"ipsc",19,"fishash",131,5577
"ipsc",20,"fishash",96,5117
"ipsc",21,"fishash",84,4498
"ipsc",22,"fishash",68,4603
"ipsc",23,"fishash",49,4203
"ipsc",24,"fishash",43,4125
"ipsc",25,"fishash",37,3867
"ipsc",26,"fishash",31,3706
"ipsc",27,"fishash",35,3548
"ipsc",28,"fishash",34,3408
"ipsc",29,"fishash",12,3138
"ipsc",30,"fishash",4,3041
"ipsc",31,"fishash",16,2893
"ipsc",32,"fishash",12,2869
"ipsc",33,"fishash",6,2770
"ipsc",34,"fishash",8,2735
"ipsc",35,"fishash",10,2545
"ipsc",36,"fishash",5,2360
"ipsc",37,"fishash",3,2408
"ipsc",38,"fishash",10,2314
"ipsc",39,"fishash",5,2377
"ipsc",40,"fishash",33,397841
"ipsc",1,"fishash+",18239170,18239170
"ipsc",2,"fishash+",1965526,2055142
"ipsc",3,"fishash+",269995,422001
"ipsc",4,"fishash+",30382,123267
"ipsc",5,"fishash+",4028,54191
"ipsc",6,"fishash+",763,33214
"ipsc",7,"fishash+",159,23803
"ipsc",8,"fishash+",41,18694
"ipsc",9,"fishash+",22,15233
"ipsc",10,"fishash+",8,12959
"ipsc",11,"fishash+",1,11285
"ipsc",12,"fishash+",0,9796
"ipsc",13,"fishash+",0,8982
"ipsc",14,"fishash+",0,8079
"ipsc",15,"fishash+",0,7285
"ipsc",16,"fishash+",0,6651
"ipsc",17,"fishash+",0,6309
"ipsc",18,"fishash+",0,5616
"ipsc",19,"fishash+",0,5577
"ipsc",20,"fishash+",0,5117
"ipsc",21,"fishash+",0,4498
"ipsc",22,"fishash+",0,4603
"ipsc",23,"fishash+",0,4203
"ipsc",24,"fishash+",0,4125
"ipsc",25,"fishash+",0,3867
"ipsc",26,"fishash+",0,3706
"ipsc",27,"fishash+",0,3548
"ipsc",28,"fishash+",0,3408
"ipsc",29,"fishash+",0,3138
"ipsc",30,"fishash+",0,3041
"ipsc",31,"fishash+",0,2893
"ipsc",32,"fishash+",0,2869
"ipsc",33,"fishash+",0,2770
"ipsc",34,"fishash+",0,2735
"ipsc",35,"fishash+",0,2545
"ipsc",36,"fishash+",0,2360
"ipsc",37,"fishash+",0,2408
"ipsc",38,"fishash+",0,2314
"ipsc",39,"fishash+",0,2377
"ipsc",40,"fishash+",0,397841
"erythroid_multiome",1,"fishash",114603,114603
"erythroid_multiome",2,"fishash",16803,16825
"erythroid_multiome",3,"fishash",2874,3142
"erythroid_multiome",4,"fishash",731,1193
"erythroid_multiome",5,"fishash",278,727
"erythroid_multiome",6,"fishash",163,613
"erythroid_multiome",7,"fishash",67,513
"erythroid_multiome",8,"fishash",57,496
"erythroid_multiome",9,"fishash",30,478
"erythroid_multiome",10,"fishash",14,438
"erythroid_multiome",11,"fishash",15,436
"erythroid_multiome",12,"fishash",5,482
"erythroid_multiome",13,"fishash",0,474
"erythroid_multiome",14,"fishash",7,440
"erythroid_multiome",15,"fishash",3,453
"erythroid_multiome",16,"fishash",2,474
"erythroid_multiome",17,"fishash",0,440
"erythroid_multiome",18,"fishash",0,478
"erythroid_multiome",19,"fishash",0,453
"erythroid_multiome",20,"fishash",0,476
"erythroid_multiome",21,"fishash",0,421
"erythroid_multiome",22,"fishash",0,446
"erythroid_multiome",23,"fishash",0,428
"erythroid_multiome",24,"fishash",0,415
"erythroid_multiome",25,"fishash",0,409
"erythroid_multiome",26,"fishash",0,381
"erythroid_multiome",27,"fishash",0,362
"erythroid_multiome",28,"fishash",0,384
"erythroid_multiome",29,"fishash",0,362
"erythroid_multiome",30,"fishash",0,346
"erythroid_multiome",31,"fishash",0,299
"erythroid_multiome",32,"fishash",0,306
"erythroid_multiome",33,"fishash",0,282
"erythroid_multiome",34,"fishash",0,286
"erythroid_multiome",35,"fishash",0,258
"erythroid_multiome",36,"fishash",0,236
"erythroid_multiome",37,"fishash",0,242
"erythroid_multiome",38,"fishash",0,234
"erythroid_multiome",39,"fishash",0,206
"erythroid_multiome",40,"fishash",0,2467
"erythroid_multiome",1,"fishash+",114603,114603
"erythroid_multiome",2,"fishash+",16787,16825
"erythroid_multiome",3,"fishash+",2623,3142
"erythroid_multiome",4,"fishash+",399,1193
"erythroid_multiome",5,"fishash+",64,727
"erythroid_multiome",6,"fishash+",13,613
