"dataset","ceil_fishash","ceil_fishashplus"
"barnyard_lrb100_0hr",5,3
"barnyard_lrb100_0hr",3,2
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",3,1
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",4,2
"barnyard_lrb100_0hr",4,2
"barnyard_lrb100_0hr",6,3
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",3,2
"barnyard_lrb100_0hr",8,3
"barnyard_lrb100_0hr",8,3
"barnyard_lrb100_0hr",6,2
"barnyard_lrb100_0hr",6,2
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",3,2
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",4,2
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",6,2
"barnyard_lrb100_0hr",4,2
"barnyard_lrb100_0hr",3,2
"barnyard_lrb100_0hr",6,2
"barnyard_lrb100_0hr",6,2
"barnyard_lrb100_0hr",7,2
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",5,3
"barnyard_lrb100_0hr",6,2
"barnyard_lrb100_0hr",5,3
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",5,3
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_72hr",11,3
"barnyard_lrb100_72hr",16,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",12,2
"barnyard_lrb100_72hr",11,3
"barnyard_lrb100_72hr",16,3
"barnyard_lrb100_72hr",11,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",11,3
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",5,3
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",7,3
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",16,3
"barnyard_lrb100_72hr",13,3
"barnyard_lrb100_72hr",19,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",14,2
"barnyard_lrb100_72hr",15,3
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",14,3
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",12,3
"barnyard_lrb100_72hr",16,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",9,2
"barnyard_lrb100_72hr",14,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",10,2
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",11,2
"barnyard_lrb100_72hr",9,2
"barnyard_lrb100_72hr",20,3
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",13,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",9,2
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",14,3
"barnyard_lrb100_72hr",15,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",7,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",13,3
"barnyard_lrb100_72hr",10,2
"barnyard_lrb100_72hr",13,3
"barnyard_lrb100_72hr",12,3
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",13,2
"barnyard_lrb100_72hr",17,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",7,3
"barnyard_lrb100_72hr",6,3
"barnyard_lrb100_72hr",15,3
"barnyard_lrb100_72hr",9,2
"barnyard_lrb100_72hr",12,3
"barnyard_lrb100_72hr",11,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",14,3
"barnyard_lrb100_72hr",11,3
"barnyard_lrb100_72hr",12,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",15,3
"barnyard_lrb100_72hr",9,2
"barnyard_lrb100_72hr",20,3
"barnyard_lrb100_72hr",12,2
"barnyard_lrb100_72hr",8,2
"barnyard_lrb100_72hr",11,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",10,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",11,3
"barnyard_lrb100_72hr",7,3
"barnyard_lrb100_72hr",8,3
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",4,2
"barnyard_lrb100_72hr",9,3
"barnyard_lrb100_72hr",6,2
"barnyard_lrb100_72hr",7,2
"barnyard_lrb100_72hr",10,4
"barnyard_lrb100_72hr",5,2
"barnyard_lrb100_72hr",5,2
