"guide","mean_ambient","marginal_vmr","chisq_depthmix","chisq_single"
"nt_179",0.017,0.98,6.7,0.3
"nt_189",0.008,0.99,5.5,0.1
"nt_150",0.007,0.99,2.9,0.1
"nt_167",0.02,1.07,7.4,5.5
"nt_138",0.025,1.12,4.6,180
"nt_121",0.029,1.18,3.9,120.9
