"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_4","nonzero",194537,2467,48,17996,0.997339835956551,0.87944094218834,0.456922054290771
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_4","full",379177,1561,290,18972,0.984944450212854,0.923976038572055,0.583168983459473
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_4","nonzero",194295,1491,290,18972,0.984944450212854,0.927136783462835,0.583168983459473
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_5","full",379511,2250,67,18172,0.996326552990844,0.889824698854177,0.623286962509155
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_5","nonzero",258493,2167,67,18172,0.996326552990844,0.893455922120065,0.623286962509155
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_5","full",379512,2295,66,18127,0.996372231077887,0.88762119283126,1.24023795127869
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_5","nonzero",258494,2212,66,18127,0.996372231077887,0.891243423963813,1.24023795127869
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_5","full",379316,1795,262,18627,0.986129493355921,0.912104593085888,0.164151906967163
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_5","nonzero",258298,1712,262,18627,0.986129493355921,0.915826736811053,0.164151906967163
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_5","full",379528,2400,50,18022,0.997233289065958,0.882479678777789,0.173465013504028
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_5","nonzero",258510,2317,50,18022,0.997233289065958,0.886080928265893,0.173465013504028
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_5","full",379216,1719,362,18703,0.981012326252295,0.915826069924591,0.971997976303101
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_5","nonzero",258198,1636,362,18703,0.981012326252295,0.919563400363833,0.971997976303101
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_6","full",379301,2314,67,18318,0.996355724775632,0.887844125630089,0.168437004089355
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_6","nonzero",229994,2260,67,18318,0.996355724775632,0.890173972203324,0.168437004089355
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_6","full",379302,2343,66,18289,0.996404249523291,0.88643854207057,1.48207306861877
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_6","nonzero",229995,2289,66,18289,0.996404249523291,0.888764700165225,1.48207306861877
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_6","full",379125,1813,243,18819,0.987252124645892,0.912126793330748,0.150819063186646
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_6","nonzero",229818,1759,243,18819,0.987252124645892,0.914520361551171,0.150819063186646
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_6","full",379320,2446,48,18186,0.997367555116815,0.881446297014347,0.15188193321228
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_6","nonzero",230013,2392,48,18186,0.997367555116815,0.883759354650598,0.15188193321228
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_6","full",379028,1736,340,18896,0.982324807652319,0.915858860023265,0.69572114944458
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_6","nonzero",229721,1682,340,18896,0.982324807652319,0.918262221790261,0.69572114944458
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_7","full",379338,2106,62,18494,0.996658762664367,0.897766990291262,0.167694091796875
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_7","nonzero",229699,1994,62,18494,0.996658762664367,0.902674736431082,0.167694091796875
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_7","full",379338,2123,62,18477,0.99665569879713,0.896941747572816,1.47498512268066
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_7","nonzero",229699,2011,62,18477,0.99665569879713,0.901844982428739,1.47498512268066
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_7","full",379171,1633,229,18967,0.988070431339862,0.920728155339806,0.193696975708008
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_7","nonzero",229532,1521,229,18967,0.988070431339862,0.925761421319797,0.193696975708008
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_7","full",379355,2226,45,18374,0.997556870622727,0.891941747572816,0.192593812942505
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_7","nonzero",229716,2114,45,18374,0.997556870622727,0.89681764935572,0.192593812942505
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_7","full",379096,1546,304,19054,0.984295898336605,0.92495145631068,0.638251066207886
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_7","nonzero",229457,1434,304,19054,0.984295898336605,0.930007809449434,0.638251066207886
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_8","full",379455,2245,58,18242,0.996830601092896,0.890418314052814,0.152270078659058
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_8","nonzero",179458,2174,58,18242,0.996830601092896,0.893514890282132,0.152270078659058
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_8","full",379459,2260,54,18227,0.997046113451124,0.889686142431786,1.58274412155151
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_8","nonzero",179462,2189,54,18227,0.997046113451124,0.892780172413793,1.58274412155151
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_8","full",379304,1762,209,18725,0.988961656279708,0.913994240249915,0.17140007019043
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_8","nonzero",179307,1691,209,18725,0.988961656279708,0.917172805642633,0.17140007019043
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_8","full",379470,2425,43,18062,0.997624965479149,0.881632254600478,0.173534154891968
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_8","nonzero",179473,2354,43,18062,0.997624965479149,0.884698275862069,0.173534154891968
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_8","full",379229,1623,284,18864,0.985168163776896,0.920779030604774,0.624073028564453
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_8","nonzero",179232,1552,284,18864,0.985168163776896,0.92398119122257,0.624073028564453
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_9","full",379413,2216,58,18313,0.996842850144249,0.892055141507136,0.191047191619873
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_9","nonzero",197672,2150,58,18313,0.996842850144249,0.894932316864585,0.191047191619873
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_9","full",379412,2264,59,18265,0.996780179000218,0.889716985727507,1.71632695198059
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_9","nonzero",197671,2198,59,18265,0.996780179000218,0.892586619752724,1.71632695198059
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_9","full",379216,1719,255,18810,0.986624704956727,0.916264796142043,0.388404846191406
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_9","nonzero",197475,1653,255,18810,0.986624704956727,0.919220055710306,0.388404846191406
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_9","full",379420,2436,51,18093,0.997189153439153,0.881338594183838,0.186882972717285
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_9","nonzero",197679,2370,51,18093,0.997189153439153,0.884181205101891,0.186882972717285
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_9","full",379121,1571,350,18958,0.981872798839859,0.923474109795899,0.522903919219971
