"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi","method","jaccard","precision","recall","fdr_pooled","recall_pooled","n_pred","n_true","model_chem"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"otsu",0.726883082076944,0.901034637043817,0.825367971810165,0.278489781780395,0.806738962044926,2887,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"valley",0.737112826104886,0.991708941811029,0.744244451011052,0.0083030617540218,0.74012393493416,1927,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"fishash",0.820707901935515,0.990237113617377,0.827831392367986,0.0070555032925682,0.817583268783888,2126,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"depth_fix",0.869766386942341,0.98584973664885,0.881277543279832,0.0105587329520458,0.871030209140201,2273,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"low",1,"sceptre",0.820758134319411,0.982801015075396,0.835046728166911,0.0212471131639723,0.820681642137878,2165,2582,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"thresh3",0.839821602044927,0.998926687769732,0.840604946813925,0.000928763815361753,0.840128084973446,10767,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"thresh10",0.533614009604922,1,0.533614009604922,0,0.534989065916901,6850,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"thresh20",0.329876071581735,1,0.329876071581735,0,0.334192439862543,4279,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"ambient",0.808098656990014,0.963772168833484,0.838426009631434,0.0166444740346205,0.80748203686348,10514,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"otsu",0.774132074603324,0.982122609861466,0.791852753341408,0.0158528231725218,0.785457669478288,10219,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"valley",0.73598704086049,0.99647273258154,0.738778135609478,0.0032616450922434,0.763745704467354,9811,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"fishash",0.726501675992735,0.997949218813671,0.728033271072241,0.000570060426405199,0.684629803186504,8771,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"depth_fix",0.85851563807672,0.996089994770648,0.861496048377428,0.00272578593494458,0.857232114964074,11006,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"high",5,"sceptre",0.73548699930811,0.998966237187511,0.736159806757151,0.000665409781523788,0.70376444860981,9017,12804,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"thresh3",0.933066475311755,0.991144149664613,0.939811876339384,0.00396510705789056,0.941176470588235,2522,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"thresh10",0.787350256564443,1,0.787350256564443,0,0.779692768827276,2081,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"thresh20",0.62498762896197,1,0.62498762896197,0,0.61521168977145,1642,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"ambient",0.67560793117385,0.703703969685542,0.958946276810504,0.269397173348716,0.949044585987261,3467,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"otsu",0.852140292284198,0.980586727688787,0.871500933016464,0.0561015561015561,0.863619333083552,2442,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"valley",0.814990462824503,0.996063380433843,0.818530394484898,0.00273348519362187,0.82015736230798,2195,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"fishash",0.908365849416477,0.993345735907095,0.913836773691438,0.0044953003677973,0.912701386286999,2447,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"depth_fix",0.93875624869514,0.983097810452726,0.953158008483839,0.0104854368932039,0.954664668415137,2575,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"low",1,"sceptre",0.902311199125551,0.987868779427171,0.913226790813098,0.00903490759753593,0.904083926564256,2435,2669,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"thresh3",0.933491554662824,0.999189288142338,0.934189318987908,0.000783576241968343,0.935720575286175,12762,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"thresh10",0.771568877091875,1,0.771568877091875,0,0.775242148517758,10565,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"thresh20",0.624029811536333,1,0.624029811536333,0,0.625110067508072,8519,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"ambient",0.877282703532258,0.988493917248163,0.887533106881355,0.00516861548890019,0.861535074845906,11802,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"otsu",0.84570566542365,1,0.84570566542365,0,0.849354270619313,11575,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"valley",0.871337098774206,0.998977969085423,0.872249707552056,0.00106304685583449,0.896389785735251,12229,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"fishash",0.863764506588556,0.999206464631007,0.864394667720145,0.00035987404408457,0.815306721455826,11115,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"depth_fix",0.944902953485594,0.995987109593618,0.948475084671407,0.00285626061448201,0.947828001174053,12954,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"high",5,"sceptre",0.814896833092575,0.997845321360251,0.816714569831612,0.00093976130062964,0.780085118872909,10641,13628,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"thresh3",0.677413185186533,0.999195906432749,0.677845250107428,0.00134589502018843,0.671493212669683,1486,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"thresh10",0.295120400763188,1,0.295120400763188,0,0.277828054298643,614,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"thresh20",0.119999997711934,1,0.119999997711934,0,0.10814479638009,239,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"ambient",0.621356298917856,0.744451738450238,0.811115355601309,0.234884732492388,0.795927601809955,2299,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"otsu",0.396809481791264,0.489532153031855,0.906241666292332,0.699984430951269,0.871945701357466,6423,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"valley",0.53863590509488,0.991706548561387,0.543882191261147,0.0138211382113821,0.548868778280543,1230,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"fishash",0.657289213751384,0.994404337492573,0.659732519413405,0.00486787204450626,0.647511312217195,1438,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"depth_fix",0.699337337353926,0.987459107522037,0.705719018499489,0.006426735218509,0.699547511312217,1556,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"low",1,"sceptre",0.656195452793913,0.993569376315119,0.659168830965487,0.00696378830083565,0.645248868778281,1436,2210,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"thresh3",0.679973965627285,0.999440559440559,0.680274529404593,0.000272479564032698,0.681400315721051,7340,10769,"A CROP-seq"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"high",5,"thresh10",0.270222475346636,1,0.270222475346636,0,0.26975578048101,2905,10769,"A CROP-seq"
