"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi"
"A","A__mix0hr_Cropseq__pur90__mumod__moivhigh","CROP-seq","mix0hr_Cropseq",0.9,"mod",15,"vhigh",15
"A","A__mix0hr_Cropseq__pur90__mustrong__moivhigh","CROP-seq","mix0hr_Cropseq",0.9,"strong",50,"vhigh",15
"A","A__mix0hr_Cropseq__pur99__muweak__moivhigh","CROP-seq","mix0hr_Cropseq",0.99,"weak",5,"vhigh",15
"A","A__mix0hr_Cropseq__pur99__mumod__moivhigh","CROP-seq","mix0hr_Cropseq",0.99,"mod",15,"vhigh",15
"A","A__mix0hr_Cropseq__pur99__mustrong__moivhigh","CROP-seq","mix0hr_Cropseq",0.99,"strong",50,"vhigh",15
"A","A__mix72hr_Cropseq__pur90__muweak__moivhigh","CROP-seq","mix72hr_Cropseq",0.9,"weak",5,"vhigh",15
"A","A__mix72hr_Cropseq__pur90__mumod__moivhigh","CROP-seq","mix72hr_Cropseq",0.9,"mod",15,"vhigh",15
"A","A__mix72hr_Cropseq__pur90__mustrong__moivhigh","CROP-seq","mix72hr_Cropseq",0.9,"strong",50,"vhigh",15
"A","A__mix72hr_Cropseq__pur99__muweak__moivhigh","CROP-seq","mix72hr_Cropseq",0.99,"weak",5,"vhigh",15
"A","A__mix72hr_Cropseq__pur99__mumod__moivhigh","CROP-seq","mix72hr_Cropseq",0.99,"mod",15,"vhigh",15
"A","A__mix72hr_Cropseq__pur99__mustrong__moivhigh","CROP-seq","mix72hr_Cropseq",0.99,"strong",50,"vhigh",15
"A","A__mix0hr_DirectCapture__pur90__muweak__moivhigh","direct-capture","mix0hr_DirectCapture",0.9,"weak",30,"vhigh",15
"A","A__mix0hr_DirectCapture__pur90__mumod__moivhigh","direct-capture","mix0hr_DirectCapture",0.9,"mod",100,"vhigh",15
"A","A__mix0hr_DirectCapture__pur90__mustrong__moivhigh","direct-capture","mix0hr_DirectCapture",0.9,"strong",400,"vhigh",15
"A","A__mix0hr_DirectCapture__pur99__muweak__moivhigh","direct-capture","mix0hr_DirectCapture",0.99,"weak",30,"vhigh",15
"A","A__mix0hr_DirectCapture__pur99__mumod__moivhigh","direct-capture","mix0hr_DirectCapture",0.99,"mod",100,"vhigh",15
