"regime","rep","corr","entry_fdr","perguide_fdr","perguide_fdr_max","percell_fwer","recall"
"G20_moi1",1,"poolBH",0.0297383029341792,0.0354795578915784,0.162790697674419,0.036,0.913059701492537
"G20_moi1",1,"GS",0.0110565110565111,0.0162746955910674,0.1,0.013,0.901119402985075
"G20_moi1",1,"perguideBH",0.026503164556962,0.022923933355246,0.0571428571428571,0.032,0.918283582089552
"G20_moi1",2,"poolBH",0.0357692307692308,0.0534653482172645,0.272727272727273,0.0465,0.931277860326895
"G20_moi1",2,"GS",0.00882117080994387,0.0195372194371126,0.2,0.011,0.918276374442793
"G20_moi1",2,"perguideBH",0.040168324407039,0.0514631461150332,0.272727272727273,0.0525,0.932020802377415
"G20_moi3",1,"poolBH",0.0278362573099415,0.0551876056531106,0.456521739130435,0.0565,0.842831068748732
"G20_moi3",1,"GS",0.00620501365103003,0.0168662397654013,0.193548387096774,0.012,0.812005678361387
"G20_moi3",1,"perguideBH",0.0233426704014939,0.0298733913621541,0.153225806451613,0.0475,0.848509430135875
"G20_moi3",2,"poolBH",0.0253041362530414,0.0420328215173874,0.208955223880597,0.05,0.817551020408163
"G20_moi3",2,"GS",0.00619195046439629,0.0123893742263841,0.0681818181818182,0.0115,0.786122448979592
"G20_moi3",2,"perguideBH",0.023578026251823,0.0373696976219129,0.158730158730159,0.0465,0.819795918367347
"G50_moi5",1,"poolBH",0.0317579771222155,0.0398958485535227,0.25,0.1015,0.799627097576134
"G50_moi5",1,"GS",0.00266001662510391,0.00414546454057635,0.0588235294117647,0.008,0.745680546923555
"G50_moi5",1,"perguideBH",0.0249164387724096,0.0263987047348043,0.114754098360656,0.0795,0.797762585456805
"G50_moi5",2,"poolBH",0.0319209039548023,0.0292365336488068,0.188679245283019,0.108,0.816632908376028
"G50_moi5",2,"GS",0.0035859058309947,0.00390291799594773,0.0869565217391304,0.0115,0.761467889908257
"G50_moi5",2,"perguideBH",0.030788876276958,0.0277081055542619,0.14,0.1035,0.81389252948886
