"dataset","guide","target","base_cp10k","n_weak","n_strong","kd_strong","kd_weak","kd_one"
"endoc","MADD-1","ENSG00000110514",0.432,163,577,0.127,0.894,1.027
"endoc","MADD-2","ENSG00000110514",0.438,552,1084,0.146,1.056,1.023
"endoc","MADD-3","ENSG00000110514",0.432,83,598,0.101,0.818,0.986
"endoc","MLX-1","ENSG00000108788",0.212,40,411,0.111,1.126,0.916
"endoc","MLX-2","ENSG00000108788",0.213,90,403,0.113,1.142,0.991
"endoc","MLX-3","ENSG00000108788",0.212,196,689,0.16,0.882,0.985
"endoc","MPHOSPH9-1","ENSG00000051825",1.063,163,556,0.169,0.938,1.031
"endoc","MPHOSPH9-2","ENSG00000051825",1.062,71,315,0.275,0.984,1.005
"endoc","MPHOSPH9-3","ENSG00000051825",1.072,199,863,0.245,1.056,1.029
"endoc","MTNR1B-1","ENSG00000134640",0.001,299,828,0.831,0.733,0.765
"endoc","MTNR1B-2","ENSG00000134640",0.001,259,796,0.331,0.433,0.216
"endoc","MTNR1B-3","ENSG00000134640",0.001,25,374,1.088,0,0
"endoc","PAM-1","ENSG00000145730",4.542,69,582,1.039,1.302,1.015
"endoc","PAM-2","ENSG00000145730",4.547,71,531,0.971,1.106,0.968
"endoc","PAM-3","ENSG00000145730",4.55,206,814,1.09,1.066,1.016
"endoc","PAM-4","ENSG00000145730",4.514,93,704,1.212,1.008,1.011
"endoc","PAM-5","ENSG00000145730",4.579,154,863,0.91,0.855,1.035
"endoc","PAM-6","ENSG00000145730",4.517,134,672,1.166,0.967,1.054
"endoc","PAX4-1","ENSG00000106331",0.022,353,843,0.333,0.657,0.814
"endoc","PAX4-2","ENSG00000106331",0.021,125,765,0.175,0.415,0.747
"endoc","PAX4-3","ENSG00000106331",0.021,96,544,0.095,0.739,0.891
"endoc","PCSK1-1","ENSG00000175426",1.925,88,553,0.116,0.773,0.997
"endoc","PCSK1-2","ENSG00000175426",1.947,332,873,0.129,0.985,1.01
"endoc","PCSK1-3","ENSG00000175426",1.939,127,651,0.156,1.079,1.01
"endoc","PELO-1","ENSG00000152684",0.188,421,832,0.229,0.989,0.942
"endoc","PELO-2","ENSG00000152684",0.184,163,581,0.149,0.836,1.067
"endoc","PELO-3","ENSG00000152684",0.184,186,595,0.202,1.055,1.03
"endoc","PELO-4","ENSG00000152684",0.183,245,611,1.129,1.164,0.979
"endoc","PELO-5","ENSG00000152684",0.182,49,257,1.354,1.094,0.854
"endoc","PELO-6","ENSG00000152684",0.182,21,228,1.055,0.833,1.074
"endoc","PIM3-1","ENSG00000198355",0.118,56,537,0.109,0.529,0.927
"endoc","PIM3-2","ENSG00000198355",0.118,63,163,0.134,0.509,0.825
"endoc","PIM3-3","ENSG00000198355",0.117,378,762,0.21,0.903,0.951
"endoc","PLCB3-1","ENSG00000149782",0.031,87,418,0.135,0.78,0.899
"endoc","PLCB3-2","ENSG00000149782",0.031,106,425,0.185,0.204,0.887
"endoc","PLCB3-3","ENSG00000149782",0.031,151,632,0.089,0.799,1.028
"endoc","PNPLA3-1","ENSG00000100344",0.076,59,649,0.147,0.616,1.024
"endoc","PNPLA3-2","ENSG00000100344",0.075,45,355,0.179,0.836,0.889
"endoc","PNPLA3-3","ENSG00000100344",0.076,100,545,0.112,0.759,1.02
"endoc","POC5-1","ENSG00000152359",0.23,62,463,0.108,0.565,1.051
"endoc","POC5-2","ENSG00000152359",0.231,287,757,0.087,1.467,1.018
"endoc","POC5-3","ENSG00000152359",0.23,242,812,0.092,1.073,0.994
"endoc","PPARG-1","ENSG00000132170",0.001,161,509,0.489,4,0.666
"endoc","PPARG-2","ENSG00000132170",0.001,71,555,1.385,2.183,0.286
"endoc","PPARG-3","ENSG00000132170",0.001,112,276,1.122,2.928,1.495
"endoc","PPARG-4","ENSG00000132170",0.001,87,289,1.002,0,0.435
"endoc","PPARG-5","ENSG00000132170",0.001,18,16,0,0,4.617
"endoc","PPARG-6","ENSG00000132170",0.001,41,385,1.871,0,0.033
"endoc","PTPRT-1","ENSG00000196090",13.767,107,454,0.268,0.937,1.068
"endoc","PTPRT-2","ENSG00000196090",13.788,206,619,0.29,1.079,1.074
"endoc","PTPRT-3","ENSG00000196090",13.772,304,684,0.184,1.113,1.067
"endoc","ROBO1-1","ENSG00000169855",6.911,86,511,0.909,0.866,0.982
"endoc","ROBO1-2","ENSG00000169855",6.88,96,434,1.015,0.98,1.038
"endoc","ROBO1-3","ENSG00000169855",6.895,50,410,1.012,0.938,1.024
"endoc","RREB1-1","ENSG00000124782",1.046,71,477,0.515,0.938,0.99
"endoc","RREB1-2","ENSG00000124782",1.042,88,569,0.838,0.915,1.11
"endoc","RREB1-3","ENSG00000124782",1.043,131,627,0.892,0.971,0.998
"endoc","SCTR-1","ENSG00000080293",0.26,136,813,0.354,1.139,1.045
"endoc","SCTR-2","ENSG00000080293",0.259,226,795,0.355,0.953,1.031
"endoc","SCTR-3","ENSG00000080293",0.254,65,429,0.4,0.728,1.08
"endoc","SFI1-2","ENSG00000198089",0.415,44,370,0.273,0.866,1.049
"endoc","SFI1-3","ENSG00000198089",0.417,66,645,0.162,0.993,1.013
"endoc","SGSM2-1","ENSG00000141258",0.192,77,626,0.133,0.816,0.983
"endoc","SGSM2-2","ENSG00000141258",0.189,45,260,0.102,0.588,1.004
"endoc","SGSM2-3","ENSG00000141258",0.189,39,221,0.239,1.868,1.209
"endoc","SLC16A11-1","ENSG00000174326",0.095,213,611,0.087,1.138,0.892
"endoc","SLC16A11-2","ENSG00000174326",0.098,52,332,0.122,0.501,0.755
"endoc","SLC16A11-3","ENSG00000174326",0.098,95,535,0.094,0.71,0.81
"endoc","SLC30A8-1","ENSG00000164756",2.561,224,946,0.116,0.776,0.942
"endoc","SLC30A8-2","ENSG00000164756",2.498,37,409,0.296,0.806,1.029
"endoc","SLC30A8-3","ENSG00000164756",2.5,56,313,0.1,0.546,1.023
"endoc","SND1-1","ENSG00000197157",3.585,33,457,0.136,0.924,0.986
"endoc","SND1-2","ENSG00000197157",3.591,201,662,0.147,0.959,1
"endoc","SND1-3","ENSG00000197157",3.591,363,686,0.154,1.098,1.02
"endoc","TBC1D30-1","ENSG00000111490",0.254,85,704,0.932,0.737,0.945
"endoc","TBC1D30-2","ENSG00000111490",0.253,47,332,0.933,0.829,0.885
"endoc","TBC1D30-3","ENSG00000111490",0.252,52,402,0.987,0.683,1.063
"endoc","THADA-1","ENSG00000115970",0.933,96,340,0.115,0.856,1
"endoc","THADA-2","ENSG00000115970",0.942,207,691,0.126,1.021,0.996
"endoc","THADA-3","ENSG00000115970",0.939,162,558,0.137,0.881,1.037
"endoc","TPCN2-1","ENSG00000162341",0.026,53,443,0.21,0.714,0.884
"endoc","TPCN2-2","ENSG00000162341",0.026,63,483,0.154,0.513,0.926
"endoc","TPCN2-3","ENSG00000162341",0.026,61,311,0.031,1.708,1.014
"endoc","CALCOCO2-1","ENSG00000136436",0.895,170,358,0.086,0.954,0.985
"endoc","CALCOCO2-2","ENSG00000136436",0.905,76,481,0.09,0.915,0.939
"endoc","CALCOCO2-3","ENSG00000136436",0.904,162,599,0.148,0.907,0.998
"endoc","CALCOCO2-4","ENSG00000136436",0.888,44,402,0.985,0.918,1.028
"endoc","CALCOCO2-5","ENSG00000136436",0.891,82,630,0.981,0.95,0.947
"endoc","CALCOCO2-6","ENSG00000136436",0.889,95,569,1.022,1.009,1.002
"endoc","WFS1-1","ENSG00000109501",0.534,71,392,0.175,0.864,1.006
"endoc","WFS1-2","ENSG00000109501",0.533,431,581,0.689,0.977,1.016
"endoc","WFS1-3","ENSG00000109501",0.535,33,259,0.225,0.611,1.004
"endoc","WSCD2-1","ENSG00000075035",0.033,46,342,0.097,0.475,1.086
"endoc","WSCD2-2","ENSG00000075035",0.033,66,466,0.03,1.128,0.867
